150	102	15300	17	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"Calc. O"	"Total"
0	-8.4426	-3.9551	51	1	51	95.25186	-2.488784E-02	-1.022532E-02	5.471937E-02	-1.148106E-02	-5.480519E-02	-6.136142E-02	0.0349957	-1.495735E-02	0	44.51308
0	-8.4416	-3.9551	52	1	52	94.99996	-4.003156E-02	-2.057206E-02	5.105258E-02	4.677377E-03	-2.526208E-02	-3.465735E-02	8.087059E-03	-0.1296397	0	44.29403
0	-8.4406	-3.9551	53	1	53	94.92594	-0.0327602	-6.757644E-03	-0.0360683	-1.271393E-03	-1.070666E-02	-6.077338E-02	3.777156E-02	-0.1764101	0	44.1619
0	-8.4396	-3.9551	54	1	54	95.30309	-2.171442E-02	-1.407442E-02	3.285446E-02	-2.526192E-02	-1.094625E-02	-8.839115E-03	-2.300928E-02	-1.398992E-02	0	44.49208
0	-8.4386	-3.9551	55	1	55	94.00539	2.234437E-02	8.177659E-03	3.989801E-02	-1.527273E-02	-1.094419E-02	-3.487699E-02	-5.166593E-02	-3.658092E-02	0	43.89085
0	-8.4376	-3.9551	56	1	56	85.74049	0.6480036	0.2084296	0.1139192	-1.320059E-02	7.433121E-02	-8.954578E-03	-0.1080572	-0.1277721	0	40.54575
0	-8.4366	-3.9551	57	1	57	73.84395	3.099539	0.4982067	0.1325457	3.285181E-02	0.1405679	3.998372E-02	-5.288641E-02	3.266057E-02	0	36.9676
0	-8.4356	-3.9551	58	1	58	91.3053	1.422847	4.747596E-02	4.183613E-03	-5.112304E-03	1.829156E-02	9.034663E-03	-4.889749E-02	-0.151187	0	43.41069
0	-8.4346	-3.9551	59	1	59	94.9076	0.1123737	3.930573E-04	0.0354875	-7.130933E-03	4.024468E-03	-8.312937E-03	9.128834E-03	-0.175671	0	44.3153
0	-8.4336	-3.9551	60	1	60	94.65456	-1.004005E-02	-1.409707E-02	1.825947E-02	-1.476028E-03	-1.103177E-02	-2.636259E-02	6.491542E-03	-3.754944E-02	0	44.20314
0	-8.4326	-3.9551	61	1	61	95.06018	-3.021843E-02	-0.0139203	2.771419E-02	-1.926721E-02	-3.999195E-02	-2.619494E-02	9.582188E-02	-0.1541263	0	44.33643
0	-8.4316	-3.9551	62	1	62	94.77905	-1.585662E-02	-4.495736E-03	-2.001511E-02	-6.883377E-03	-5.378596E-02	9.608526E-03	-0.1067818	-0.1969543	0	43.98407
0	-8.4306	-3.9551	63	1	63	94.24589	-4.206451E-02	-5.52677E-04	5.223053E-02	-6.976825E-03	1.875079E-02	-1.672872E-02	-0.107482	-0.1507228	0	43.854
0	-8.4296	-3.9551	64	1	64	94.64803	-0.022461	4.438872E-03	-2.842338E-02	-7.192455E-03	3.913993E-03	-2.587422E-02	-5.038025E-02	-0.1057865	0	44.05342
0	-8.4286	-3.9551	65	1	65	94.51422	-3.927402E-02	-7.393572E-03	2.159024E-02	-0.0253909	-5.482772E-02	-1.784856E-02	5.763355E-03	8.554506E-03	0	44.12716
0	-8.4276	-3.9551	66	1	66	94.87084	-0.0458436	-1.640853E-02	7.464451E-02	-1.321172E-02	-6.894891E-02	-4.342701E-02	-2.140133E-02	-8.292995E-02	0	44.23101
0	-8.4266	-3.9551	67	1	67	95.4228	-2.130266E-02	-6.71584E-03	-1.221119E-03	-9.219198E-03	-0.0543675	-2.594905E-02	-8.051746E-02	-3.601844E-02	0	44.44187
0	-8.4256	-3.9551	68	1	68	95.10222	-0.0283271	-9.330431E-03	5.160836E-02	-0.0151235	3.313635E-02	9.038418E-03	3.839159E-02	-0.1761449	0	44.36679
0	-8.4246	-3.9551	69	1	69	95.34969	-1.821671E-02	-2.420089E-03	4.476681E-02	-1.710873E-02	-5.427082E-02	-2.582939E-02	-7.995036E-02	-5.893927E-02	0	44.43172
0	-8.4236	-3.9551	70	1	70	94.88634	-5.359863E-02	-4.026306E-02	-1.090272E-02	-3.448727E-03	1.816926E-02	-6.121174E-02	-0.111654	7.967805E-02	0	44.23352
0	-8.4226	-3.9551	71	1	71	94.99804	-4.335482E-02	1.910222E-02	9.203367E-03	-4.868092E-03	1.908549E-02	-1.646418E-02	-0.1361497	-0.1733706	0	44.1344
0	-8.4216	-3.9551	72	1	72	94.7378	-4.352865E-02	-1.009978E-02	-3.854843E-04	-6.941803E-03	-2.475923E-02	-3.407823E-02	-0.1664501	-0.1036666	0	43.9876
0	-8.4206	-3.9551	73	1	73	94.87928	-3.406587E-02	1.005139E-02	-3.166635E-02	-1.711009E-02	-5.427173E-02	-1.712947E-02	-5.019872E-02	-0.1057319	0	44.12367
0	-8.4196	-3.9551	74	1	74	94.74925	-2.654476E-02	-1.735391E-02	2.767872E-02	-9.07609E-03	-1.042803E-02	-2.566631E-02	-0.1085861	-8.151269E-02	0	44.10183
0	-8.4186	-3.9551	75	1	75	94.26154	-2.620783E-02	-6.090806E-03	3.289013E-02	-1.495554E-02	-2.488661E-02	-2.551517E-02	-0.1077365	-0.1276237	0	43.83654
0	-8.4176	-3.9551	76	1	76	94.77128	-2.087201E-02	7.427499E-03	-0.0765732	-0.0230235	-5.419659E-02	-1.703709E-02	-7.931946E-02	-0.1053101	0	44.00405
0	-8.4166	-3.9551	77	1	77	95.05618	-1.799371E-02	-4.990666E-03	3.004782E-02	-1.506818E-02	-3.960077E-02	-4.316658E-02	9.529501E-03	-0.1756587	0	44.25626
0	-8.4156	-3.9551	78	1	78	94.76245	4.712516E-03	0.0166138	6.404354E-03	-1.528157E-02	-0.0253806	-4.360608E-02	3.725506E-02	-0.1070829	0	44.21246
0	-8.4146	-3.9551	79	1	79	94.86303	-3.504589E-02	-7.455654E-03	-0.0269901	-1.693946E-02	-1.026749E-02	-0.0342119	-0.1078048	-0.1277243	0	44.05228
0	-8.4136	-3.9551	80	1	80	95.02026	-2.338287E-02	-8.650463E-03	-5.362102E-02	-5.515493E-03	-6.939171E-02	-4.395531E-02	-2.352277E-02	3.209377E-02	0	44.29536
0	-8.4126	-3.9551	81	1	81	94.14641	-3.780207E-02	2.159052E-02	4.648226E-02	-1.098728E-02	-2.488326E-02	-2.552424E-02	-0.1076824	-0.1276268	0	43.81312
0	-8.4116	-3.9551	82	1	82	94.48332	-2.563056E-02	3.055692E-02	-3.148805E-02	-1.326426E-02	-1.076982E-02	-1.739971E-02	-0.1104038	1.051827E-02	0	44.02914
0	-8.4106	-3.9551	83	1	83	94.64342	-3.378285E-02	1.863461E-02	3.153273E-02	-2.298474E-02	4.164062E-03	4.804338E-04	-0.108513	-8.151027E-02	0	44.08056
0	-8.4096	-3.9551	84	1	84	94.73875	-2.195126E-02	1.333791E-02	1.896709E-02	-5.009583E-03	-2.482683E-02	9.391868E-03	-0.1076815	-0.1276519	0	44.08612
0	-8.4086	-3.9551	85	1	85	94.06619	-0.0357706	5.644281E-03	-3.056698E-02	-1.527783E-02	-0.0108348	-4.360158E-02	-5.127208E-02	-3.652894E-02	0	43.80888
0	-8.4076	-3.9551	86	1	86	94.83247	-1.187851E-02	8.488687E-04	4.134477E-02	2.91923E-03	-2.485122E-02	-8.084077E-03	-0.1375314	-8.094394E-02	0	44.16479
0	-8.4066	-3.9551	87	1	87	95.16785	-1.341437E-02	8.488366E-04	0.0016128	-9.002178E-03	-2.482985E-02	-1.678861E-02	-0.1375877	-8.100215E-02	0	44.2654
0	-8.4056	-3.9551	88	1	88	94.73615	-5.901105E-03	2.313788E-02	1.289162E-02	-4.97494E-03	-2.475875E-02	-3.413063E-02	-0.1962728	-5.695678E-02	0	44.06296
0	-8.4046	-3.9551	89	1	89	95.20922	-2.917093E-02	-5.890892E-03	2.809968E-02	-1.887338E-02	4.484695E-03	-1.664207E-02	-0.166614	-8.042005E-02	0	44.27563
0	-8.4036	-3.9551	90	1	90	95.40398	-2.058028E-02	9.382099E-03	-7.047501E-02	-1.544643E-02	3.625931E-03	-2.649295E-02	6.188816E-03	8.603558E-03	0	44.50666
0	-8.4026	-3.9551	91	1	91	95.18425	-2.625074E-02	0.0356441	6.727658E-02	-8.931515E-03	-2.470182E-02	-4.281906E-02	-0.1665757	-8.038968E-02	0	44.32137
0	-8.4016	-3.9551	92	1	92	95.17686	-4.561502E-02	2.689734E-02	1.723812E-02	-1.164274E-03	-1.040433E-02	-3.447619E-02	-7.929887E-02	-8.199351E-02	0	44.34035
0	-8.4006	-3.9551	93	1	93	95.03754	-1.878818E-02	3.868731E-02	-1.378372E-02	-5.416843E-03	-1.085686E-02	-8.86878E-03	7.156775E-03	-3.743414E-02	0	44.38638
0	-8.3996	-3.9551	94	1	94	94.80305	-3.218682E-02	2.034854E-02	-7.627203E-03	-2.146755E-02	-0.0403	-3.535249E-02	3.550207E-02	8.238602E-03	0	44.28539
0	-8.3986	-3.9551	95	1	95	94.59195	-2.031963E-02	5.235936E-02	4.851786E-02	-0.0114585	-2.559758E-02	8.39176E-03	9.551952E-02	-8.491683E-02	0	44.27848
0	-8.3976	-3.9551	96	1	96	94.90135	-2.178661E-02	4.129222E-02	3.261349E-02	-1.288705E-02	-3.926984E-02	8.373962E-04	-0.1366465	-0.1270956	0	44.15401
0	-8.3966	-3.9551	97	1	97	94.48954	-1.351453E-02	9.210844E-02	-3.957265E-02	-9.094543E-03	6.252068E-02	4.45037E-04	-0.1382051	-5.816593E-02	0	44.03622
0	-8.3956	-3.9551	98	1	98	94.66879	-2.704694E-02	6.534076E-02	0.1053285	1.258511E-02	-6.904507E-02	-5.221961E-02	-2.121356E-02	-5.975667E-02	0	44.27918
0	-8.3946	-3.9551	99	1	99	94.42636	5.38598E-03	0.0740947	-2.950278E-02	-2.301829E-02	-0.0395923	-1.701652E-02	-7.892957E-02	-0.1051864	0	43.9602
0	-8.3936	-3.9551	100	1	100	92.7422	0.1432097	0.1214694	0.1452754	2.892692E-03	-2.491058E-02	-0.0342508	-0.1072941	-0.1274314	0	43.44696
0	-8.3926	-3.9551	101	1	101	88.24776	0.7184292	0.2803856	0.1620402	-1.114969E-02	9.000975E-02	-1.730168E-02	-0.1373447	-0.080826	0	41.8804
0	-8.3916	-3.9551	102	1	102	76.64682	2.101366	0.6750968	0.3982874	-1.699648E-03	0.2839515	-5.233624E-02	-0.1078409	-8.099089E-02	0	37.91514
0	-8.3906	-3.9551	103	1	103	55.894	4.330237	1.662317	0.5470941	1.804339E-02	0.9183088	4.502717E-02	5.454225E-03	-1.568924E-02	0	30.90102
0	-8.3896	-3.9551	104	1	104	37.71329	5.640694	6.039903	0.8300734	5.869638E-04	4.263271	7.959069E-02	0.0528482	-9.794702E-02	0	28.03101
0	-8.3886	-3.9551	105	1	105	22.01048	4.791368	15.29888	1.258682	1.168866E-02	11.14862	1.463015E-02	-3.298725E-02	-2.866785E-02	0	30.20072
0	-8.3876	-3.9551	106	1	106	11.03302	2.721714	31.25228	2.297636	3.395562E-02	24.21546	0.1176876	0.1846263	-0.049486	0	42.19608
0	-8.3866	-3.9551	107	1	107	4.942619	1.396645	41.07852	2.969904	3.102402E-02	31.33927	-9.980934E-04	-5.888607E-02	0.1358681	0	49.25428
0	-8.3856	-3.9551	108	1	108	1.633663	0.5164808	49.461	3.635643	5.337518E-02	36.9739	-2.043428E-03	0.2082761	0.1091006	0	56.51936
0	-8.3846	-3.9551	109	1	109	0.4597102	4.370315E-02	54.20787	3.25082	7.044931E-02	38.65832	-2.825689E-03	0.1467219	0.13118	0	59.41149
