98	179	17542	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"BaO WT%"	"K2O WT%"	"SrO WT%"	"CaO WT%"	"TiO2 WT%"	"Na2O WT%"	"MgO WT%"	"O WT%"	"Total"
0	-4.785	-36.589	61	1	61	45.39974	32.18938	0.6765153	-5.652589E-02	9.441228E-02	0.2885968	18.5044	1.868547E-02	1.26915	5.982274E-02	0	98.44418
0	-4.7845	-36.589	62	1	62	45.56016	32.27312	0.6588631	-4.628028E-02	9.254134E-02	0.2351153	18.60985	3.165545E-02	1.275536	7.094908E-02	0	98.76152
0	-4.784	-36.589	63	1	63	45.31327	32.21772	0.6882903	-2.620495E-02	9.433638E-02	0.2727801	18.49257	1.862752E-02	1.269578	6.220186E-02	0	98.40316
0	-4.7835	-36.589	64	1	64	45.43398	32.06924	0.6302451	4.041373E-03	9.323847E-02	0.293619	18.60729	2.715442E-02	1.259454	6.479524E-02	0	98.48306
0	-4.783	-36.589	65	1	65	45.49071	32.2983	0.6824115	-3.633182E-02	9.812812E-02	0.2724937	18.63042	3.156132E-02	1.242087	4.753784E-02	0	98.75732
0	-4.7825	-36.589	66	1	66	45.3877	32.04505	0.7268832	-5.979188E-03	0.084768	0.2351903	18.50245	4.443309E-02	1.284045	6.886269E-02	0	98.37341
0	-4.782	-36.589	67	1	67	45.63126	32.22632	0.7076663	-1.606085E-02	0.0955904	0.245615	18.61402	2.293425E-02	1.280094	6.884053E-02	0	98.87627
0	-4.7815	-36.589	68	1	68	45.50378	32.38607	0.7330462	-5.819599E-03	0.0823044	0.1713191	18.60747	8.327074E-02	1.24983	0.0674144	0	98.87868
0	-4.781	-36.589	69	1	69	45.32502	32.344	0.6780391	-2.615411E-02	0.1108287	0.2515531	18.61476	1.434821E-02	1.251913	0.0610178	0	98.62533
0	-4.7805	-36.589	70	1	70	45.54845	32.19526	0.6635757	-6.644493E-02	7.421378E-02	0.2244966	18.6983	-7.043672E-03	1.280515	7.013458E-02	0	98.68146
0	-4.78	-36.589	71	1	71	45.37963	32.12799	0.723877	-2.633991E-02	8.059146E-02	0.293884	18.63512	9.955709E-03	1.253166	6.367911E-02	0	98.54155
0	-4.7795	-36.589	72	1	72	45.36262	32.41793	0.75496	2.428879E-02	9.677294E-02	0.2516022	18.43297	6.157196E-02	1.193113	7.377672E-02	0	98.6696
0	-4.779	-36.589	73	1	73	45.11961	31.98403	0.7593816	-6.198859E-03	0.1026213	0.2567562	18.70623	3.142141E-02	1.252394	5.952068E-02	0	98.26576
0	-4.7785	-36.589	74	1	74	45.62196	32.44998	0.7000095	0.0343775	0.101729	0.2617179	18.75534	1.259504E-03	1.201488	5.369714E-02	0	99.18156
0	-4.778	-36.589	75	1	75	45.0586	32.10257	0.6457006	-8.683922E-02	0.1020214	0.2677864	18.72932	-1.138697E-02	1.238482	5.688658E-02	0	98.10313
0	-4.7775	-36.589	76	1	76	45.51286	32.20802	0.7491907	1.424382E-02	0.0917529	0.2512614	18.47149	2.286659E-02	1.283807	7.333826E-02	0	98.67883
0	-4.777	-36.589	77	1	77	45.8118	32.17829	0.6635507	-7.665294E-02	8.986535E-02	0.3201651	18.39499	5.323664E-02	1.253593	7.838795E-02	0	98.76723
0	-4.7765	-36.589	78	1	78	45.7973	32.03145	0.7105654	3.447582E-02	0.1149065	0.2666083	18.47019	1.301947E-03	1.309942	6.584612E-02	0	98.80258
0	-4.776	-36.589	79	1	79	45.59125	31.76413	0.7137476	2.450635E-02	0.1070911	0.2295398	18.30672	1.430389E-02	1.391812	5.975848E-02	0	98.20285
0	-4.7755	-36.589	80	1	80	45.85633	32.00513	0.6931711	4.407106E-03	0.1091683	0.2347891	18.29191	2.300874E-02	1.427959	7.269722E-02	0	98.71857
0	-4.775	-36.589	81	1	81	46.09359	32.02904	0.7688668	2.465183E-02	0.1203412	0.2132162	18.13859	0.0315915	1.478005	6.801491E-02	0	98.96591
0	-4.7745	-36.589	82	1	82	45.97625	31.67816	0.7396451	-3.583415E-02	0.1196332	0.1918984	18.03028	3.178702E-02	1.45059	6.841508E-02	0	98.25082
0	-4.774	-36.589	83	1	83	45.90815	31.83043	0.6958453	8.526205E-02	0.1119471	0.2453214	18.02686	1.424153E-02	1.518243	6.703617E-02	0	98.50334
0	-4.7735	-36.589	84	1	84	45.97468	31.58769	0.7355626	-0.0760964	0.1179892	0.1814075	17.87947	2.763528E-02	1.570127	7.136176E-02	0	98.06984
0	-4.773	-36.589	85	1	85	46.21671	31.68665	0.752912	-5.477654E-03	0.1349711	0.2183617	17.82923	0.0360394	1.618567	7.038003E-02	0	98.55835
0	-4.7725	-36.589	86	1	86	46.12843	31.58261	0.7291077	-9.677729E-02	0.1219562	0.3675026	17.87781	0.0619076	1.606132	6.696304E-02	0	98.44565
0	-4.772	-36.589	87	1	87	46.32123	31.24038	0.7422755	3.484739E-02	0.1367616	0.2497454	17.73164	3.161005E-02	1.682504	7.730019E-02	0	98.24829
0	-4.7715	-36.589	88	1	88	46.40833	31.44412	0.7672675	2.450056E-02	0.1328678	0.3296185	17.74154	6.596195E-02	1.64279	8.074004E-02	0	98.63774
0	-4.771	-36.589	89	1	89	46.29337	31.29696	0.7593302	-7.611302E-02	0.1347075	0.2448398	17.54725	4.484337E-02	1.715744	8.682174E-02	0	98.04775
0	-4.7705	-36.589	90	1	90	46.54231	31.21188	0.6982673	4.851178E-03	0.1402631	0.2016491	17.66768	5.973741E-03	1.705004	8.075302E-02	0	98.25864
0	-4.77	-36.589	91	1	91	46.64013	31.68554	0.7232437	3.506824E-02	0.1468995	0.239199	17.60792	4.031972E-02	1.701219	6.803934E-02	0	98.88758
0	-4.7695	-36.589	92	1	92	46.78959	31.37412	0.7102741	-5.589727E-02	0.1439278	0.270705	17.65004	5.342536E-02	1.753594	8.050051E-02	0	98.77029
0	-4.769	-36.589	93	1	93	46.70956	31.49048	0.7411723	1.484272E-02	0.1580903	0.2389398	17.59668	5.327369E-02	1.722787	7.021867E-02	0	98.79605
0	-4.7685	-36.589	94	1	94	46.67508	31.22348	0.6927938	-0.1063992	0.1446357	0.2388046	17.79737	5.357569E-02	1.746614	7.820764E-02	0	98.54417
0	-4.768	-36.589	95	1	95	46.89979	31.2687	0.7161229	-5.295255E-03	0.1340068	0.2545279	17.58951	1.458743E-02	1.801453	8.175337E-02	0	98.75516
0	-4.7675	-36.589	96	1	96	46.55024	31.36194	0.7131123	2.509631E-02	0.1534164	0.217899	17.45811	4.040239E-02	1.739273	7.928064E-02	0	98.33878
0	-4.767	-36.589	97	1	97	46.77698	31.47472	0.783139	-3.559189E-02	0.1551765	0.244363	17.48188	1.732966E-03	1.74069	7.813914E-02	0	98.70122
0	-4.7665	-36.589	98	1	98	46.88408	31.12877	0.7475737	-1.528303E-02	0.1296591	0.2012834	17.48956	6.204506E-02	1.775463	7.765432E-02	0	98.4808
0	-4.815	-36.5885	1	2	99	45.88241	31.70169	0.5773509	5.441743E-02	0.1548697	0.4202918	17.39249	0.0484759	1.734312	6.140262E-02	0	98.02773
0	-4.8145	-36.5885	2	2	100	45.42771	31.43774	0.6112133	0.0744406	0.1462716	0.3833138	17.59215	4.407987E-02	1.703284	4.851693E-02	0	97.46873
0	-4.814	-36.5885	3	2	101	46.10393	31.58252	0.625289	7.506242E-02	0.1384248	0.2070285	17.57472	4.006322E-02	1.728014	4.555135E-02	0	98.12061
0	-4.8135	-36.5885	4	2	102	46.44591	31.33845	0.6080953	-4.590289E-02	0.1499264	0.2383191	17.61051	2.744584E-02	1.751239	6.337791E-02	0	98.18736
0	-4.813	-36.5885	5	2	103	46.65416	31.47905	0.5725725	-0.015484	0.1465753	0.2329083	17.40471	6.184391E-02	1.711196	7.406978E-02	0	98.32159
0	-4.8125	-36.5885	6	2	104	46.5166	31.0618	0.5695938	-2.563689E-02	0.1487549	0.2486832	17.39841	3.604358E-02	1.78034	6.729188E-02	0	97.80186
0	-4.812	-36.5885	7	2	105	46.07731	31.26991	0.6475605	2.448652E-02	0.1624736	0.313367	17.29453	1.430235E-02	1.803297	7.104757E-02	0	97.67829
0	-4.8115	-36.5885	8	2	106	46.31568	30.91838	0.6080585	0.0248913	0.1728914	0.1957925	17.25259	-2.710572E-03	1.765363	7.808594E-02	0	97.32903
0	-4.811	-36.5885	9	2	107	46.1521	31.35644	0.5734066	4.17865E-03	0.1480493	0.37166	17.51709	6.586558E-02	1.797282	6.765771E-02	0	98.05373
0	-4.8105	-36.5885	10	2	108	46.80811	31.50828	0.5934631	-4.575598E-02	0.1467377	0.2807103	17.33948	6.008733E-03	1.783801	7.535664E-02	0	98.49617
0	-4.81	-36.5885	11	2	109	46.1968	31.31513	0.5873086	1.476522E-02	0.1620304	0.2122402	17.37575	3.598584E-02	1.744612	6.335774E-02	0	97.70797
0	-4.8095	-36.5885	12	2	110	46.58808	31.25392	0.6318577	-3.579612E-02	0.1500755	0.2807474	17.3705	1.632662E-03	1.799146	5.833329E-02	0	98.0985
0	-4.809	-36.5885	13	2	111	46.66261	31.29746	0.5989631	4.492914E-02	0.1610497	0.2593524	17.3229	4.877387E-02	1.802836	6.034791E-02	0	98.25923
0	-4.8085	-36.5885	14	2	112	46.56768	31.17713	0.5560364	0.0247408	0.1576464	0.3072904	17.2133	4.450911E-02	1.804632	0.0734807	0	97.92644
0	-4.808	-36.5885	15	2	113	46.63879	31.30501	0.6302642	2.483548E-02	0.151015	0.2489691	17.21629	6.174066E-02	1.932078	5.308729E-02	0	98.26207
0	-4.8075	-36.5885	16	2	114	46.84658	30.92691	0.6363024	4.640047E-03	0.1685562	0.2482359	17.23237	5.748017E-02	1.895717	0.0647805	0	98.08156
0	-4.807	-36.5885	17	2	115	46.74716	31.35447	0.5282689	4.869964E-03	0.1825788	0.2862795	16.99902	3.178608E-02	1.987231	6.061418E-02	0	98.18228
0	-4.8065	-36.5885	18	2	116	46.81635	31.32501	0.5521431	-5.150921E-03	0.1647278	0.2329218	17.09804	5.763917E-02	1.910946	6.002784E-02	0	98.21265
0	-4.806	-36.5885	19	2	117	46.71744	30.99127	0.5959724	0.1157083	0.1718928	0.2166421	17.12905	1.432298E-02	1.915947	7.219487E-02	0	97.94044
0	-4.8055	-36.5885	20	2	118	46.72371	31.246	0.5843249	4.574719E-03	0.152363	0.3338951	17.16835	0.0402513	1.911227	8.083206E-02	0	98.24552
0	-4.805	-36.5885	21	2	119	46.57392	31.08503	0.5815506	2.497358E-02	0.1553359	0.2596538	17.00965	4.461308E-02	1.904266	5.906811E-02	0	97.69806
0	-4.8045	-36.5885	22	2	120	46.6357	31.36396	0.5680728	-3.588945E-02	0.1647559	0.3659591	17.31375	6.178843E-02	1.874728	6.310493E-02	0	98.37592
0	-4.804	-36.5885	23	2	121	46.4267	31.36998	0.6025168	-3.560356E-02	0.1600879	0.2547952	17.35668	-3.268348E-02	1.891122	6.419621E-02	0	98.05779
0	-4.8035	-36.5885	24	2	122	46.64128	31.4091	0.6139908	1.465785E-02	0.1598733	0.2862343	17.34602	5.743429E-02	1.823614	5.831611E-02	0	98.41053
0	-4.803	-36.5885	25	2	123	46.88163	31.26096	0.572853	3.521206E-02	0.153363	0.1794725	17.31641	0.0532734	1.804586	6.263288E-02	0	98.32038
0	-4.8025	-36.5885	26	2	124	46.65353	31.43031	0.5560344	4.394436E-03	0.1549814	0.360528	17.48738	6.168526E-02	1.778441	6.532653E-02	0	98.55263
0	-4.802	-36.5885	27	2	125	46.30317	31.6769	0.5786013	-6.619324E-02	0.1545144	0.350871	17.53647	2.744907E-02	1.750481	6.150115E-02	0	98.37376
0	-4.8015	-36.5885	28	2	126	46.19878	31.58547	0.5678179	1.445751E-02	0.1367231	0.3561673	17.58178	-1.145643E-02	1.759694	5.241169E-02	0	98.24184
0	-4.801	-36.5885	29	2	127	46.31155	31.29224	0.583969	3.452229E-02	0.1343719	0.3555108	17.54689	7.446422E-02	1.702593	5.264075E-02	0	98.08876
0	-4.8005	-36.5885	30	2	128	46.3857	31.54677	0.6155955	-1.569289E-02	0.1380917	0.2760022	17.68531	2.737148E-02	1.682982	5.998311E-02	0	98.40211
0	-4.8	-36.5885	31	2	129	46.20623	31.50522	0.6173059	-4.587133E-02	0.1443559	0.2764339	17.4551	4.468029E-02	1.691247	0.0606565	0	97.95535
0	-4.7995	-36.5885	32	2	130	46.2774	31.49154	0.6315022	4.191424E-03	0.1334047	0.3557448	17.70856	3.149413E-02	1.624601	4.660537E-02	0	98.30504
0	-4.799	-36.5885	33	2	131	46.30558	31.60709	0.6111811	-0.0460825	0.1301343	0.3134023	17.75638	4.459595E-02	1.638773	6.141207E-02	0	98.42247
0	-4.7985	-36.5885	34	2	132	46.40619	31.77662	0.6047569	4.463698E-02	0.1202715	0.3238903	17.87631	4.005381E-02	1.616735	0.0600307	0	98.86951
0	-4.798	-36.5885	35	2	133	46.2442	31.84799	0.6433569	5.479772E-02	0.1364694	0.2763602	17.87906	1.425558E-02	1.593198	6.634409E-02	0	98.75603
0	-4.7975	-36.5885	36	2	134	46.18329	31.7933	0.5490959	1.484546E-02	0.1459552	0.1700328	17.9698	1.883169E-02	1.5943	6.982874E-02	0	98.50929
0	-4.797	-36.5885	37	2	135	45.76748	31.64489	0.6685633	-1.611195E-02	0.1352021	0.3567971	17.81429	4.438881E-02	1.580757	6.302872E-02	0	98.05928
0	-4.7965	-36.5885	38	2	136	45.68961	31.80747	0.7059687	-5.639365E-02	0.1025655	0.2985691	17.98553	3.591971E-02	1.552029	6.044516E-02	0	98.1817
0	-4.796	-36.5885	39	2	137	45.74942	31.79965	0.6749487	-6.642604E-02	0.1302878	0.2984811	17.95017	2.736867E-02	1.542708	5.356559E-02	0	98.16016
0	-4.7955	-36.5885	40	2	138	45.72736	31.94967	0.5894551	7.456962E-02	0.1299769	0.3781801	18.17724	4.414264E-02	1.52357	5.675955E-02	0	98.65092
0	-4.795	-36.5885	41	2	139	45.75278	31.75059	0.6184086	1.443757E-02	0.1059243	0.2450434	18.0987	2.725414E-02	1.479879	6.959353E-02	0	98.16261
0	-4.7945	-36.5885	42	2	140	45.92083	31.75301	0.7586026	6.443088E-02	0.1156789	0.308405	18.17321	4.413961E-02	1.401093	6.397597E-02	0	98.60339
0	-4.794	-36.5885	43	2	141	45.49737	31.78023	0.6420378	-1.607738E-02	9.912601E-02	0.2826323	18.27407	3.582594E-02	1.428151	6.501818E-02	0	98.08838
0	-4.7935	-36.5885	44	2	142	45.60272	31.8251	0.6716491	-6.00592E-03	0.106687	0.2718368	18.33678	3.579238E-02	1.444188	7.103054E-02	0	98.35979
0	-4.793	-36.5885	45	2	143	45.76636	31.76932	0.6939229	-4.652638E-02	0.1122167	0.3514106	18.14183	0.0444154	1.369426	6.401978E-02	0	98.2664
0	-4.7925	-36.5885	46	2	144	45.49094	31.72697	0.615815	-3.596744E-02	0.1174836	0.2188631	18.16463	-1.564587E-02	1.40941	6.542937E-02	0	97.75792
0	-4.792	-36.5885	47	2	145	45.75358	31.6695	0.664423	1.437843E-02	0.1172577	0.218289	18.21977	5.305618E-02	1.433639	7.080205E-02	0	98.21471
0	-4.7915	-36.5885	48	2	146	45.64103	32.06622	0.689786	2.465289E-02	0.1218229	0.1709703	18.13144	0.0445017	1.450782	6.339621E-02	0	98.40461
