77	69	5313	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	8.3034	14.8376	21	1	21	4.351069	1.667007	43.84887	1.944366	3.995188E-02	33.16183	-2.036039E-02	-6.869453E-02	0.1182736	0	34.17391	85.0423
0	8.3044	14.8376	22	1	22	0.4369081	0.2222904	56.58573	1.510747	5.427855E-02	41.18859	2.219265E-04	0.3702877	8.652896E-02	0	39.7459	100.4556
0	8.3054	14.8376	23	1	23	0.1481925	-1.408739E-03	57.25814	1.574881	4.005157E-02	43.1994	1.538289E-02	0.1295211	0.6515335	0	40.88469	103.0157
0	8.3064	14.8376	24	1	24	8.403057E-02	6.72701E-03	57.05198	1.303071	3.480715E-02	43.13675	3.863706E-02	0.249537	0.4161268	0	40.75681	102.3217
0	8.3074	14.8376	25	1	25	0.134453	-5.751952E-03	57.95342	1.451074	0.0225515	43.20475	-5.345498E-02	1.288757E-02	0.3709887	0	40.97755	103.0909
0	8.3084	14.8376	26	1	26	0.1792487	-1.878977E-02	56.83963	1.354839	3.138363E-02	42.52309	3.825342E-04	0.1617153	0.2759877	0	40.33459	101.3475
0	8.3094	14.8376	27	1	27	8.357959E-02	9.877142E-03	57.96482	1.314028	1.697816E-02	42.77397	2.298768E-02	0.1597339	0.4867919	0	40.80152	102.8328
0	8.3104	14.8376	28	1	28	7.842774E-02	-1.854961E-02	57.81419	1.4112	2.611935E-02	42.69274	-0.0456658	-1.632783E-02	0.2771184	0	40.60098	102.2193
0	8.3114	14.8376	29	1	29	0.1212756	-8.10023E-04	58.5453	1.43456	3.141419E-02	43.17147	-3.030043E-02	-1.646346E-02	0.3006338	0	41.12187	103.5571
0	8.3124	14.8376	30	1	30	0.1168928	3.815762E-03	57.6743	1.552434	5.439274E-02	43.48041	-2.278497E-02	0.2208729	0.3227352	0	41.08968	103.4031
0	8.3134	14.8376	31	1	31	0.131417	1.348973E-02	57.52197	1.5109	3.476394E-02	41.86611	-2.293765E-02	4.185466E-02	0.3938075	0	40.13193	101.4914
0	8.3144	14.8376	32	1	32	0.1308902	4.025313E-04	57.83101	1.473054	4.014484E-02	43.53415	-0.0229364	0.2798096	0.3456679	0	41.18273	103.6122
0	8.3154	14.8376	33	1	33	0.1750118	5.782582E-03	57.35736	1.468163	3.692812E-02	43.87075	0.0162039	0.0735167	0.2772647	0	41.24601	103.281
0	8.3164	14.8376	34	1	34	0.1864985	-3.845205E-03	57.90295	1.411059	3.154644E-02	43.06792	2.381784E-02	4.413211E-02	0.1595434	0	40.93452	102.8236
0	8.3174	14.8376	35	1	35	0.1629177	-4.060868E-03	56.891	1.475184	4.192889E-02	41.13148	-1.502533E-02	0.1027884	0.1585181	0	39.527	99.94472
0	8.3184	14.8376	36	1	36	0.2052052	5.869758E-04	57.33542	1.460286	3.489526E-02	42.79034	-7.375821E-03	0.1614444	0.3230026	0	40.65036	102.3038
0	8.3194	14.8376	37	1	37	0.1943754	-2.322038E-02	57.40538	1.464923	4.571954E-02	42.91335	-2.237667E-02	-4.555395E-02	0.2777117	0	40.67832	102.2103
0	8.3204	14.8376	38	1	38	0.2280851	-5.227529E-03	57.06684	1.347324	0.0457987	42.18807	-2.985906E-02	-1.445056E-02	4.235977E-02	0	40.16375	100.8689
0	8.3214	14.8376	39	1	39	0.2181958	7.166068E-03	57.37873	1.30125	2.259039E-02	42.92713	-2.260179E-02	0.1623314	0.2056505	0	40.72318	102.2004
0	8.3224	14.8376	40	1	40	0.3476286	-4.352421E-03	57.08293	1.702252	7.559555E-02	42.78405	-7.498684E-03	0.1009251	0.5347549	0	40.67065	102.6163
0	8.3234	14.8376	41	1	41	0.4185195	1.782048E-02	56.89973	1.394684	4.880601E-02	42.32584	-1.561915E-02	0.2183471	0.6037669	0	40.42921	101.9119
0	8.3244	14.8376	42	1	42	0.5778955	0.1234261	56.02911	1.61376	4.370238E-02	42.42799	2.326017E-02	0.3086945	0.4864648	0	40.38465	101.6343
0	8.3254	14.8376	43	1	43	0.6963693	3.216864E-02	57.12078	1.374576	4.518848E-02	42.61963	-4.067967E-04	0.3660691	0.6495774	0	40.84911	102.904
0	8.3264	14.8376	44	1	44	0.73069	8.654295E-03	56.11613	1.594441	6.073616E-02	42.2631	-1.669543E-02	0.5096591	1.139161	0	40.45346	102.4059
0	8.3274	14.8376	45	1	45	0.944586	-0.0112195	55.88548	1.465483	5.002317E-02	42.40528	6.230554E-03	0.7161745	1.137306	0	40.61771	102.5993
0	8.3284	14.8376	46	1	46	1.089066	-9.767451E-03	55.90482	1.586374	5.157335E-02	41.19542	-9.518336E-03	0.7449674	1.159933	0	40.017	101.7129
0	8.3294	14.8376	47	1	47	1.455097	-5.806719E-03	54.87962	1.573803	7.138737E-02	40.0926	-2.425382E-02	0.6895208	0.763354	0	39.22448	99.49532
0	8.3304	14.8376	48	1	48	0.9130452	-1.214384E-02	56.59424	1.459877	6.081231E-02	41.45905	6.710815E-03	0.5122849	0.7883924	0	40.18871	101.7823
0	8.3314	14.8376	49	1	49	0.9109917	7.288632E-03	56.43314	1.502001	4.836692E-02	41.22171	-8.783931E-03	0.1544595	1.189094	0	40.01219	101.4583
0	8.3324	14.8376	50	1	50	1.102499	1.009039E-02	56.06301	1.577835	5.706515E-02	41.47546	6.215165E-03	0.3303349	1.397611	0	40.2181	102.0201
0	8.3334	14.8376	51	1	51	1.680104	-4.698823E-03	54.46759	1.479159	6.776395E-02	40.54269	2.937552E-02	0.6270609	1.184547	0	39.56541	100.0736
0	8.3344	14.8376	52	1	52	1.317907	1.938765E-02	55.09398	1.580414	5.672074E-02	39.90183	-1.750801E-02	0.5950955	1.394248	0	39.19746	99.94208
0	8.3354	14.8376	53	1	53	1.165761	-1.746642E-03	55.21024	1.56803	9.247151E-02	41.82024	-9.509977E-03	0.5061791	1.559002	0	40.23819	101.9107
0	8.3364	14.8376	54	1	54	1.02629	0.0283225	55.3245	1.475478	7.488917E-02	40.45343	-8.888949E-03	0.3919933	1.023057	0	39.3433	99.78908
0	8.3374	14.8376	55	1	55	1.092917	8.801386E-03	56.36921	1.698123	6.426591E-02	41.50439	-1.226153E-03	0.4806868	1.069407	0	40.28584	102.2866
