86	119	10234	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	35.0034	0.7164	43	1	43	29.64231	6.334517	3.002234	0.7047538	0.133389	2.46141	4.699923E-02	3.952089E-02	4.567203E-02	0	20.58569	42.4108
0	35.0044	0.7164	44	1	44	29.44659	6.183545	3.600116	0.7919136	0.1478291	3.757732	1.150499E-02	3.355506E-02	0.2724456	0	21.3337	44.24523
0	35.0054	0.7164	45	1	45	28.64783	5.75883	4.555038	0.8646493	0.1255786	4.25741	7.810903E-02	3.086702E-02	0.2931876	0	21.33633	44.6115
0	35.0064	0.7164	46	1	46	28.18228	5.720854	5.113371	0.7820947	9.617355E-02	4.738172	6.900712E-02	0.1466156	0.1985661	0	21.50132	45.04713
0	35.0074	0.7164	47	1	47	28.21855	5.621944	5.905965	0.9180071	0.1037505	5.264104	3.541322E-02	6.067159E-02	0.1075513	0	21.9578	46.23596
0	35.0084	0.7164	48	1	48	27.50559	5.594211	6.47858	0.983278	0.136267	5.728273	6.904503E-02	3.316253E-02	-3.048595E-02	0	21.98798	46.49792
0	35.0094	0.7164	49	1	49	27.2982	5.470468	6.613857	1.038488	0.1497114	6.022309	8.590176E-02	-5.426444E-02	-6.362579E-03	0	22.03348	46.61832
0	35.0104	0.7164	50	1	50	27.40198	5.29874	6.457715	0.8880332	0.1452621	5.201284	5.131393E-02	5.851538E-02	0.1287157	0	21.52894	45.63156
0	35.0114	0.7164	51	1	51	27.20831	5.454538	5.709105	0.7978683	0.148477	5.126755	6.153113E-02	-0.0821187	1.842706E-02	0	21.20133	44.44289
0	35.0124	0.7164	52	1	52	28.56958	5.904455	5.062149	0.6485066	0.1661355	4.675771	7.841184E-02	3.366235E-02	8.644851E-02	0	21.70329	45.22512
